year,total,-14,15-64,65-
2015,127095,15945,77282,33868
2016,126812,15746,76482,34585
2017,126463,15517,75782,35163
2018,126046,15282,75158,35606
2019,125562,15024,74622,35916
2020,125016,14767,74058,36192
2021,124417,14480,73550,36386
2022,123770,14162,73130,36479
2023,123085,13818,72683,36584
2024,122367,13483,72181,36704
2025,121623,13152,71701,36771
2026,120856,12820,71231,36805
2027,120069,12513,70716,36840
2028,119264,12211,70147,36905
2029,118441,11943,69507,36990
2030,117600,11686,68754,37160
2031,116742,11414,68328,37000
2032,115866,11182,67487,37197
2033,114975,10985,66607,37383
2034,114068,10824,65651,37592
2035,113145,10694,64634,37817
2036,112208,10589,63535,38084
2037,111257,10501,62365,38391
2038,110292,10423,61146,38724
2039,109316,10349,59951,39016
2040,108329,10274,58850,39206
2041,107333,10194,57821,39318
2042,106330,10109,56869,39352
2043,105320,10016,55959,39346
2044,104306,9915,55106,39285
2045,103289,9805,54292,39192
2046,102269,9688,53535,39046
2047,101248,9563,52791,38894
2048,100224,9430,52046,38749
2049,99199,9289,51316,38594
2050,98172,9141,50625,38406
2051,97142,8987,49979,38177
2052,96108,8826,49348,37934
2053,95071,8661,48744,37665
2054,94028,8493,48170,37365
2055,92979,8323,47614,37042
2056,91923,8152,47067,36703
2057,90860,7984,46505,36372
2058,89790,7818,45944,36029
2059,88712,7656,45345,35711
2060,87626,7500,44723,35403
2061,86535,7352,44102,35081
2062,85437,7211,43460,34766
2063,84336,7080,42801,34456
2064,83232,6958,42143,34132
2065,82128,6845,41473,33810
